status,geschlecht,nationalitaet,studiengang,entscheidung,alter,semester,bereich,vertraut_defense,ethik_im_studium,ethik_vorbereitung,ethik_orientierung,vorstellen_defense,vorstellen_forschung,dualuse_bedenken,gewissenskonflikte,einstellung_veraendert,f17_bucket,rank_gehalt,rank_arbeitsklima,rank_moralische_werte,rank_work_life_balance,rank_gesellschaftlicher_beitrag,rank_interesse_spass,rank_jobsicherheit,rank_karriere,pro_werte_schutz,pro_geopolitik,pro_karrierechancen,pro_finanzielle_gruende,pro_innovation,contra_moralische_bedenken,contra_politische_ueberzeugung,contra_rechtliche_unklarheit,contra_soziales_umfeld,contra_sicherheitsbedenken
student,weiblich,deutsch,Informatik,zivil,18-22,1./2. Semester,Ich arbeite nicht,2,Nein,2,3,1,3,3,3,2,unentschieden,1,4,7,6,8,2,3,5,0,0,0,0,0,1,0,0,0,1
student,maennlich,deutsch,Informatik,militaer,18-22,3./4. Semester,Informatik / Software Engineering,2,Nein,2,3,4,2,1,3,2,unentschieden,3,6,4,8,5,2,7,1,1,0,0,1,1,1,0,0,0,0
student,maennlich,deutsch,Informatik,militaer,23-27,7./8. Semester,Informatik / Software Engineering,2,Nein,3,2,5,5,1,1,3,militaer,3,5,6,4,8,2,7,1,1,0,1,0,1,0,0,0,0,0
student,maennlich,deutsch,Informatik,militaer,18-22,3./4. Semester,Ich arbeite nicht,2,Nein,4,1,4,4,1,1,1,militaer,2,4,5,7,8,6,3,1,0,0,1,1,0,0,0,0,0,0
student,maennlich,deutsch,Social Data Science & Communication,militaer,18-22,3./4. Semester,Data Science / Data Engineering,5,"Ja, aber nur am Rande",4,1,5,5,1,1,3,militaer,1,6,8,4,7,3,5,2,1,1,1,1,1,0,0,0,0,0
student,maennlich,deutsch,Social Data Science & Communication,unentschieden,18-22,3./4. Semester,Anderes,3,"Ja, aber nur am Rande",3,3,3,4,1,1,3,militaer,5,3,8,1,7,2,4,6,0,0,0,1,1,0,0,0,0,0
student,maennlich,deutsch,Social Data Science & Communication,militaer,23-27,1./2. Semester,Anderes,4,"Ja, aber nur am Rande",2,2,5,5,1,1,1,militaer,3,7,1,5,6,2,4,8,0,1,0,0,1,0,0,0,0,0
student,weiblich,deutsch,Social Data Science & Communication,zivil,28-34,3./4. Semester,Anderes,4,Ja,3,4,1,1,4,5,4,unentschieden,1,5,2,4,7,6,8,3,0,0,0,0,0,1,1,0,0,0
student,weiblich,deutsch,Social Data Science & Communication,unentschieden,18-22,3./4. Semester,Ich arbeite nicht,4,Ja,4,4,3,3,3,2,3,militaer,1,4,6,2,7,5,3,8,0,0,0,1,1,1,0,0,0,0
student,weiblich,deutsch,Social Data Science & Communication,zivil,18-22,3./4. Semester,Ich arbeite nicht,3,Ja,4,4,1,2,5,4,4,unentschieden,3,6,5,1,8,2,4,7,0,0,0,0,0,1,1,0,0,0
student,maennlich,deutsch,Social Data Science & Communication,unentschieden,28-34,3./4. Semester,Anderes,3,"Ja, aber nur am Rande",3,3,3,2,3,2,4,unentschieden,2,6,3,1,7,5,4,8,0,0,1,1,0,1,0,0,1,0
student,maennlich,deutsch,Social Data Science & Communication,zivil,18-22,3./4. Semester,Data Science / Data Engineering,3,"Ja, aber nur am Rande",4,4,2,1,3,5,4,unentschieden,2,1,5,3,7,6,4,8,0,0,0,0,0,1,1,0,1,0
student,maennlich,deutsch,Social Data Science & Communication,unentschieden,18-22,1./2. Semester,Ich arbeite nicht,3,Ja,3,4,3,3,1,3,4,unentschieden,4,3,7,8,5,1,6,2,0,1,0,0,1,1,0,0,0,0
student,weiblich,deutsch,Informatik,unentschieden,18-22,1./2. Semester,Ich arbeite nicht,1,Nein,2,3,3,2,5,4,3,zivil,6,5,1,4,2,3,7,8,1,0,0,0,0,1,0,0,0,0
student,weiblich,deutsch,Social Data Science & Communication,militaer,23-27,1./2. Semester,Ich arbeite nicht,4,Ja,5,3,5,5,1,1,1,militaer,4,6,8,2,7,1,3,5,0,0,0,0,1,0,0,0,0,0
student,maennlich,deutsch,Informatik,zivil,18-22,1./2. Semester,Ich arbeite nicht,1,Nein,1,3,1,1,4,5,2,zivil,3,6,4,2,5,1,7,8,0,0,0,0,0,1,1,0,1,0
student,weiblich,deutsch,Social Data Science & Communication,zivil,18-22,3./4. Semester,Ich arbeite nicht,3,"Ja, aber nur am Rande",3,3,2,2,2,2,2,militaer,2,4,6,1,8,3,5,7,0,0,0,1,0,0,0,0,0,0
student,weiblich,deutsch,Social Data Science & Communication,unentschieden,18-22,3./4. Semester,Data Science / Data Engineering,5,"Ja, aber nur am Rande",3,3,3,1,5,5,2,militaer,2,7,4,6,8,5,1,3,1,0,1,1,0,1,1,0,0,1
student,maennlich,deutsch,Elektrotechnik,militaer,23-27,7./8. Semester,Elektrotechnik,3,Nein,3,4,4,5,4,2,1,militaer,5,6,8,1,7,4,2,3,0,0,1,1,1,0,0,0,0,0
student,maennlich,deutsch,Elektrotechnik,unentschieden,23-27,9. Semester oder höher,Informatik / Software Engineering,5,Nein,1,5,3,3,4,5,2,zivil,3,2,7,6,5,1,4,8,0,0,1,1,1,1,0,1,0,1
student,weiblich,deutsch,Maschinenbau,zivil,23-27,9. Semester oder höher,Wirtschaftsingenieurwesen,1,Nein,1,5,2,5,4,4,1,militaer,6,5,2,4,7,8,1,3,0,0,0,1,0,1,0,0,0,1
student,maennlich,deutsch,Elektrotechnik,militaer,23-27,7./8. Semester,Elektrotechnik,3,Nein,3,4,5,5,1,2,2,militaer,1,5,6,3,7,2,4,8,1,1,0,0,1,0,0,0,0,0
student,maennlich,deutsch,Elektrotechnik,militaer,23-27,7./8. Semester,Elektrotechnik,2,Nein,1,3,5,5,1,1,2,militaer,5,3,7,6,8,2,1,4,1,0,1,0,1,0,0,0,0,0
student,weiblich,deutsch,Elektrotechnik,zivil,18-22,7./8. Semester,Informatik / Software Engineering,2,Nein,1,4,1,1,5,5,5,zivil,5,3,7,4,8,1,2,6,0,0,0,0,0,1,0,0,0,1
student,maennlich,deutsch,Elektrotechnik,militaer,18-22,7./8. Semester,Informatik / Software Engineering,4,Nein,2,3,5,5,3,2,4,militaer,4,3,7,8,5,2,6,1,1,1,1,1,1,0,0,0,0,0
student,weiblich,deutsch,Informatik,zivil,18-22,1./2. Semester,Anderes,3,Weiß ich nicht,3,3,2,2,5,4,4,unentschieden,4,5,7,6,8,1,2,3,0,0,1,0,1,1,0,0,0,0
student,maennlich,deutsch,Elektrotechnik,militaer,18-22,7./8. Semester,Elektrotechnik,4,Nein,4,3,5,5,1,1,1,militaer,1,6,7,5,8,2,3,4,0,0,0,1,0,0,0,0,0,0
student,maennlich,deutsch,Elektrotechnik,militaer,23-27,7./8. Semester,Elektrotechnik,5,Nein,3,1,5,5,1,1,1,militaer,1,5,7,3,8,4,2,6,0,1,1,1,1,0,0,0,0,0
